Luck,Hardwork,Smartwork,Success
7.325367592,3.684036802,3.411924912,4.312321107
2.083509608,2.03547542,3.47607518,2.975884109
6.108617044,9.871563702,9.332810023,9.630031271
6.860825736,6.349608036,6.089833054,6.641610603
6.740753895,5.543547146,7.261306019,6.557228863
9.157268491,7.925146496,5.398902184,7.661650075
7.68212725,3.833763036,2.062455674,4.147278875
1.755922285,1.071198578,7.281759956,4.55813599
8.389623699,3.458401389,8.469525004,7.345064556
2.252301741,5.198992121,6.351500696,5.179843522
9.728000528,8.374235517,2.331537803,6.422328208
5.328876011,9.48833189,4.232502708,6.677490873
5.758401235,3.771273652,6.892097213,6.220921391
2.807715769,9.79448271,6.315069176,7.046299913
6.558979252,6.385128482,9.707777224,8.121567119
6.370646709,4.947952032,3.555359691,4.845813846
6.805138043,7.991816546,8.614172399,8.399165038
4.247659676,4.072504846,6.377593774,5.542707919
7.085307434,4.074746971,5.087211068,5.23386701
7.205349922,7.130960511,6.550905648,6.971445883
6.650290275,2.632819273,7.39629629,6.175201043
4.59231989,9.370557275,9.375670635,8.853380269
9.303492639,3.922985639,2.339573457,4.940741235
5.93275209,5.462099108,8.835501951,7.37168027
1.014903742,4.234136898,8.841135379,6.38880465
9.908462696,2.957620541,3.903997701,4.813037563
4.178245348,1.096148002,9.791843895,5.435214517
2.479933685,4.793346667,9.68282723,7.23436408
1.088609918,1.303419505,1.761909572,1.967393021
5.205021674,5.267439747,9.873719618,7.501896646
7.573137959,9.831929839,3.402285741,7.006261107
9.497793017,3.570089849,9.525726822,7.820682048
8.901436996,7.848968667,2.796749527,6.920198969
3.997396998,2.147310433,6.46584409,4.295056903
8.292762398,2.142250641,6.806404424,5.629498001
6.396856889,2.065303723,7.121338617,5.637406675
9.946292543,4.157581548,4.657929489,5.959385121
8.913539469,2.001061415,6.022245714,5.70638369
1.487634488,5.549784866,7.026602213,5.891146738
9.106900784,7.424203705,7.469371399,8.171351044
2.753079297,8.479035784,6.530896319,7.39171401
6.395566253,2.127777963,6.144302988,4.662789122
4.642825815,1.473459504,4.528910789,3.521107726
