Luck,Hardwork,Smartwork,Success
1.057724517,1.301621603,8.354773475,5.031879266
5.625178887,5.095068864,4.201304928,5.549476267
8.809968258,9.756278643,1.925933989,
9.837436048,2.630020363,3.155368979,4.638812806
6.342820063,1.277967657,5.940567746,4.689938447
7.919114681,5.171280182,7.172290995,6.844548074
8.809627537,4.205082935,5.390684309,5.721937814
4.675022089,6.368034006,7.909945076,6.703421334
4.166666117,8.884348175,8.510349904,8.14865811
4.791759867,7.583515213,9.517332602,8.282852465
6.133612041,5.512412332,6.829357664,6.404987313
4.426425193,2.374382801,9.374944948,6.265137662
7.495155589,9.914781382,4.680337121,7.549245005
5.277605134,5.57250069,6.090982611,5.794060136
1.805051889,7.076468729,9.161707751,7.817019457
8.994371047,7.784015493,8.674004305,
2.457929712,5.606599878,8.377163689,6.381774877
4.008359394,7.474714392,6.49648712,6.523076804
5.375712625,8.993778696,9.049194223,9.160623798
4.147398651,8.524683583,1.412443807,5.636604138
5.113947108,6.38188401,9.785827593,8.07459251
4.645014349,9.327386338,6.555999748,7.409780733
5.068732373,6.574366938,7.703215409,7.507730163
3.102579985,7.937278523,5.802676809,6.830939953
1.087974192,2.231899298,6.249415372,3.784845323
5.309652952,1.08535537,1.262638065,2.679055492
7.232601603,4.451851951,5.804920506,6.017882924
5.568446299,2.873637959,3.152579064,4.139948009
2.656149533,7.562688625,3.461941086,5.180755046
1.801452054,6.808209687,1.883116435,4.534053697
4.67721565,3.501636165,7.706555957,6.089218554
3.513532352,6.357307072,7.639946934,7.283520141
6.60194132,5.305311902,8.085677193,7.372376809
8.913562526,9.138055677,5.333784633,7.845152982
6.846622205,7.281327767,4.264960279,6.424477385
9.723798938,4.995265233,7.765895136,7.218998173
6.438234857,8.360834235,8.745646263,8.612464532
4.481023688,9.881421242,2.688261512,6.730802532
5.198120068,9.989763465,3.369741061,7.160052918
4.291302925,1.462434027,6.131025804,4.032212951
9.396943823,3.99801397,6.206479524,6.487997053
5.884595369,9.533213352,9.691445782,9.54853819
7.603662106,1.004478233,9.471824777,6.099062042
9.536825746,3.545808447,9.21042323,7.444680158
5.924460607,3.65073969,8.420636189,6.172542053
6.611370394,5.136319006,7.452545067,6.821133333
3.067044516,8.902193196,3.192491,6.075840886
9.510782721,7.431348185,6.61700643,7.970706457
1.289418503,4.672623167,2.052018896,3.889715631
4.130251493,1.957344135,1.068861435,2.731048597
1.559164413,2.492869125,7.398662826,5.240600082
7.139577541,9.144305677,9.937500507,9.497611794
5.30865822,1.997750697,6.02530995,4.380571453
3.778858358,5.077157437,3.792423989,5.087051921
8.313657887,3.805100409,3.967140238,5.676799251
9.288678172,8.312453894,4.601260498,7.364226837
7.127951049,6.329451128,8.628888568,7.472831908
9.5781562,2.144314224,2.493161855,3.900081164
8.496523943,5.149101323,9.828626494,7.85013052
1.49903093,4.71171648,5.399409216,4.877275462
5.455946323,6.4330367,3.707983016,5.817451531
8.892068777,5.220103003,1.595162367,5.101125337
9.765878877,9.35326229,6.781813538,8.536828389
2.920040532,4.374993677,1.210231725,3.432210013
3.642977599,1.343831107,6.524745353,4.288083138
3.63157439,8.855869963,5.366658576,7.092103355
6.871774284,2.021229448,4.998455819,4.490351733
6.010190734,3.39751388,2.206487428,15
8.520771924,2.818389827,6.933232757,5.755680065
2.266249334,8.286441264,2.429744633,5.566512826
6.111048752,5.188689089,1.102273698,3.940292946
3.90548018,1.955834103,7.321283112,4.932658136
5.97477099,7.154680778,9.619810609,8.6622613
5.250961704,6.897874703,4.622417425,5.666402267
6.14847537,5.07251573,2.197694273,4.398570347
4.966206661,3.472643864,3.03137616,3.922907478
2.807692358,7.586087545,6.293285979,6.36111183
4.60138069,8.933443677,9.893395485,8.852293583
2.443006089,4.699664762,7.248852252,5.329040557
8.904224417,7.30582676,6.580252398,7.359709967
1.571115339,1.814451579,2.874119463,2.865437738
2.259209981,8.738656961,8.739266019,7.986548954
8.276700558,6.079173998,9.764934279,8.818241343
3.065660997,9.81776219,1.608049213,5.697164112
4.691296224,3.888971045,5.928352141,5.824405676
4.57651421,5.714299384,7.803864971,7.211432671
9.173968069,5.237857881,8.834865628,7.930874629
4.898173333,6.189647642,2.781374183,5.381077938
7.396078035,7.560625284,2.819418379,6.069694297
6.718243612,4.545876037,6.651394055,6.18595953
4.320039031,6.878760664,4.172505588,5.987227875
9.367181082,5.885653759,6.423290593,7.65095882
2.661676348,2.445896893,8.309814419,4.994979241
6.033039229,1.208517576,6.397632706,5.086257744
1.440125097,2.641157268,4.982924814,3.804245912
1.102110137,3.243020961,9.332224412,5.671637302
6.641284466,1.818911277,7.634621183,6.007228009
5.4746194,7.708313416,1.837701795,5.183031065
1.484509642,5.941869388,4.141008718,5.308078116
6.351537031,5.266737841,5.948269124,6.647367665
1.811857656,6.617720485,2.390177107,4.879702334
2.969534114,7.514206551,6.944190184,7.266348852
6.379855567,3.159889499,9.385543366,6.873192382
2.405222618,8.341235842,2.776341483,5.434140289
9.381099927,3.298302994,1.933728421,4.240076109
2.221793387,7.158992853,1.126054463,4.157129714
6.053302225,1.489784509,5.975099598,4.702910031
2.001376511,8.236571601,6.507871967,6.741332117
9.333586477,5.498962724,4.373681863,5.843098398
7.820858016,4.54363889,7.436555521,7.226329297
1.913465975,4.13407318,5.526453362,4.338485058
5.379093121,3.482859456,8.596183887,6.90171012
6.86312826,8.088146815,3.645115261,6.105739751
7.676702247,9.066039129,9.99759614,9.836978915
6.981244154,1.630751583,6.561935904,5.168612836
4.05875672,5.914250835,6.135448997,6.389195585
1.837887971,4.060321757,4.611496054,4.023782173
8.744139252,7.813503975,3.268176026,6.730866945
5.903363689,7.019367359,4.629030311,6.8085239
1.137309208,6.942554839,3.769076571,5.376686525
5.375430395,1.917382196,7.611096649,5.642324841
7.718322776,1.707678178,7.426281754,5.800790861
7.152904625,7.237517243,9.723684977,9.027578616
9.870626758,5.910620973,4.010626206,6.851624535
7.566798159,2.627180722,9.375379861,6.718694081
3.884318223,8.671258267,2.056379016,6.020951818
7.823567245,2.609370656,4.148238154,4.926548011
7.581857843,2.69690942,6.798805727,5.744887719
3.881870679,6.986109347,6.786673774,6.894762268
4.585861281,3.597788245,1.538782821,3.352204157
7.558239351,7.538800677,3.865505468,6.500530946
8.482418618,1.595198412,3.327845374,4.178975502
6.812676626,2.229272585,8.513738703,6.386696112
1.84189804,2.148978138,2.022521018,2.395509091
9.317462461,5.55192571,6.872497995,7.170721384
2.821452497,9.377178707,8.19551613,7.904348716
6.866997163,7.02963782,4.166369426,6.70366899
3.484230591,6.178405099,8.629922388,7.23608894
4.889682555,3.647346857,9.11040512,6.728008951
2.889901917,7.360715147,3.693283561,5.068171542
4.111505779,6.606653916,8.243967957,7.223089776
5.815562318,4.886119427,2.58899755,4.502411919
1.272708387,1.507087077,1.951886257,2.003656875
2.796953947,7.252854153,8.626568541,7.447600497
4.081861659,1.525176658,2.818057166,2.978413879
8.194472037,2.645589966,7.318796646,5.75828328
2.314594676,5.497221728,6.362382571,5.267072059
8.609459191,5.514184964,8.397811186,7.780148776
7.026582399,2.907147663,9.584994734,6.756619795
1.142314059,3.812594621,1.103265573,2.752956755
4.29220078,5.544407515,9.419072411,6.847942206
6.399039462,1.99995892,2.211011212,3.43655081
4.132185953,1.201317132,8.652692093,5.1559494
1.536775781,8.725065006,2.880737783,5.573321934
8.426968429,3.913004405,3.989259565,5.189786848
4.976937883,3.673406117,2.163643537,4.006938133
8.589010912,4.36040844,4.183922543,5.620525248
4.207793243,3.53356935,3.849036607,4.773862246
4.689999051,9.627199641,4.019396274,7.064227918
1.613276782,2.257980096,5.680326298,4.009031473
4.100280436,4.260470257,1.808849011,4.246973726
5.783759444,1.464023465,6.040276829,4.304221809
1.632302377,2.783531951,5.066607765,3.810057968
6.835235231,7.79779893,1.212343332,5.077442648
9.711398699,6.463767801,7.540689179,8.349201594
7.94942889,9.607387282,9.754796923,10.31085574
7.391123111,4.281428648,4.416497896,5.208442893
3.477759005,5.229340477,2.378101395,4.456071389
4.642121347,3.974409779,5.780972741,5.370982796
5.37165714,1.355520326,2.760260055,3.458384681
1.469547287,9.562854386,9.374180903,7.965367614
3.52077241,6.232489581,9.751827221,7.990972907
3.141167083,7.465016143,7.884637816,7.352035211
3.425080846,3.158027869,8.459810619,5.697908603
6.364124525,9.79689245,4.089900117,7.144696503
6.888456436,5.825320816,5.321287072,6.708961059
2.250993359,8.563079939,7.670249417,7.181777565
2.507079758,3.361849864,2.812277071,3.603681342
3.624031114,1.571054511,6.586252246,4.679983026
9.309013909,8.394545407,7.230037826,8.867605459
4.769876919,3.177275559,8.206913591,5.715973337
7.16983075,9.51350487,9.647760986,9.306183994
8.465342738,9.558346888,7.490956068,8.690434266
9.53744281,2.112333166,4.795695514,5.275168852
9.629102831,2.516824676,7.187002501,6.684987635
1.51699823,4.653315842,5.163555726,5.068778015
5.635269444,4.817590801,9.347269253,6.936197704
3.729188577,3.980265131,2.952932914,4.304423251
4.364980868,3.411123057,8.202586957,5.588391886
8.313573617,5.811610716,5.808188293,6.486758545
5.823746851,4.354229095,5.273561219,5.17040413
1.519150776,8.062456961,9.208395444,7.762172958
4.358569192,5.772192676,6.28352215,6.649174187
8.039609642,1.128801373,8.465481095,5.531769296
1.553567312,1.319817604,6.174229085,3.980166576
1.408368661,7.822435478,7.914450028,6.626703879
7.040405104,2.55911676,9.126413568,6.591823456
3.682070485,8.764412982,6.835879096,7.621181471
1.145272964,3.760638709,3.66604273,3.756000849
9.389813201,5.86213988,3.169659847,6.228269923
5.313198775,2.401474201,5.546232012,4.712073589
5.403740011,7.034544515,8.178893838,7.561178815
6.049319284,4.13934003,4.377181011,4.688898523
7.355063181,6.776454399,9.936101988,12
6.032368329,1.117884317,9.81613623,5.947161824
3.354117003,2.022910483,8.128362697,4.773359514
3.565563255,6.948231995,9.300627648,8.075256593
5.715247122,6.2829725,9.027124276,7.420979731
1.502450378,7.726130193,3.726100802,5.513718543
7.794441354,1.247525216,5.121325302,4.808592602
8.728912171,2.608860129,2.439262396,4.531993768
2.842480981,5.264231923,4.463861246,4.519670632
8.596843308,6.182928359,9.387232712,8.741682537
8.397482425,3.833253194,8.091672878,6.783566364
4.930011255,9.509682328,8.066898483,8.868010973
1.392136031,9.868441549,8.324810063,7.748174443
9.288995192,5.014262687,8.036204951,7.613477947
4.052438422,3.039870414,7.4713231,5.583771434
4.661140033,4.47216951,3.547675976,20
